Time_s,Pressure_mbar,Flow_ul_min
377.67,-0.12,0.00
378.67,-0.19,0.00
379.67,-0.25,0.00
380.68,-0.19,0.00
382.68,-0.19,0.00
383.68,-0.12,0.00
384.68,-0.19,0.00
385.68,-0.25,0.00
386.68,-0.19,0.00
387.69,-0.25,0.00
388.69,-0.19,0.00
389.69,-0.25,0.00
390.69,-0.19,0.00
391.69,-0.25,0.00
392.69,-0.25,0.00
393.69,-0.25,0.00
394.69,-0.25,0.00
395.69,-0.19,0.00
396.69,-0.25,0.00
397.69,-0.19,0.00
398.69,-0.25,0.00
399.70,-0.12,0.00
400.70,-0.31,0.00
401.70,-0.19,0.00
402.70,-0.25,0.00
403.70,-0.25,0.00
404.70,-0.25,0.00
423.37,-0.19,0.00
424.37,60.74,0.00
425.37,181.00,0.00
426.37,301.55,0.00
427.37,422.32,0.00
428.37,542.38,0.00
429.37,600.19,0.00
430.37,600.19,0.00
431.38,600.13,0.00
432.38,535.70,0.00
433.38,414.43,0.00
434.38,293.95,0.00
435.38,173.84,0.00
436.38,53.44,0.00
437.38,503.36,0.00
438.38,381.98,0.00
439.39,260.75,0.00
440.39,139.25,0.00
441.39,19.11,0.00
442.39,-0.31,0.00
443.39,-0.19,0.00
444.39,-0.37,0.00
445.39,-0.19,0.00
446.40,-0.19,0.00
447.40,40.44,0.00
448.40,120.51,0.00
449.40,201.13,0.00
450.41,281.33,0.00
451.41,361.53,0.00
452.41,399.98,0.00
453.41,399.92,0.00
454.41,399.86,0.00
455.42,399.86,0.00
456.42,399.98,0.00
457.42,399.92,0.00
458.42,399.86,0.00
459.42,399.92,0.00
460.42,399.92,0.00
462.42,399.92,0.00
463.42,400.04,0.00
464.42,399.98,0.00
465.42,399.86,0.00
466.42,399.92,0.00
467.43,399.74,0.00
468.43,399.92,0.00
469.43,399.86,0.00
470.43,399.92,0.00
471.43,399.86,0.00
473.44,399.86,0.00
474.44,399.92,0.00
475.44,399.86,0.00
476.44,399.86,0.00
477.44,399.92,0.00
479.45,399.86,0.00
480.46,399.92,0.00
481.46,399.98,0.00
482.46,399.98,0.00
484.46,399.92,0.00
485.46,399.86,0.00
486.47,399.67,0.00
487.47,399.86,0.00
489.47,399.67,0.00
490.47,399.86,0.00
491.47,399.98,0.00
492.47,399.92,0.00
493.48,399.86,0.00
494.48,399.86,0.00
495.48,399.92,0.00
496.48,399.80,0.00
497.48,399.86,0.00
498.48,399.80,0.00
499.48,399.98,0.00
500.48,399.98,0.00
501.48,399.86,0.00
502.48,399.98,0.00
503.49,399.80,0.00
504.49,399.80,0.00
506.49,399.86,0.00
507.49,399.92,0.00
508.49,399.80,0.00
509.49,399.92,0.00
510.49,399.80,0.00
511.49,400.04,0.00
512.50,337.82,0.00
513.50,257.57,0.00
514.50,176.84,0.00
515.51,96.54,0.00
516.51,16.36,0.00
517.51,352.16,0.00
519.52,190.30,0.00
520.52,141.52,0.00
522.52,-0.37,0.00
523.52,-0.25,0.00
524.52,-0.19,0.00
525.52,-0.19,0.00
526.53,-0.19,0.00
527.53,-0.12,0.00
528.53,-0.19,0.00
529.53,-0.25,0.00
530.53,-0.19,0.00
531.53,-0.25,0.00
532.54,-0.25,0.00
533.54,-0.19,0.00
534.54,-0.25,0.00
535.54,-0.19,0.00
536.54,-0.25,0.00
537.54,-0.12,0.00
538.54,-0.06,0.00
539.54,-0.19,0.00
540.55,-0.25,0.00
541.55,-0.25,0.00
542.55,-0.19,0.00
543.56,-0.19,0.00
544.56,-0.25,0.00
545.56,-0.19,0.00
546.56,-0.19,0.00
547.56,-0.25,0.00
548.57,-0.12,0.00
549.57,-0.12,0.00
550.57,-0.25,0.00
551.57,-0.19,0.00
552.57,-0.19,0.00
553.57,-0.25,0.00
554.57,-0.19,0.00
555.57,-0.25,0.00
556.57,-0.19,0.00
557.57,-0.19,0.00
558.58,-0.12,0.00
559.58,-0.19,0.00
560.58,-0.12,0.00
561.58,-0.25,0.00
562.59,-0.25,0.00
563.59,-0.12,0.00
564.59,-0.12,0.00
566.59,-0.12,0.00
567.59,-0.25,0.00
568.60,-0.19,0.00
569.60,-0.19,0.00
570.60,-0.12,0.00
571.60,-0.12,0.00
572.60,-0.12,0.00
573.60,-0.19,0.00
574.60,-0.19,0.00
575.60,-0.19,0.00
576.60,-0.19,0.00
577.61,-0.12,0.00
578.61,-0.25,0.00
579.61,-0.06,0.00
580.61,-0.06,0.00
581.61,-0.19,0.00
582.61,-0.19,0.00
583.61,-0.19,0.00
584.61,-0.06,0.00
585.61,-0.31,0.00
586.61,-0.19,0.00
587.61,-0.19,0.00
588.62,-0.12,0.00
589.62,-0.25,0.00
590.62,-0.25,0.00
591.62,-0.37,0.00
592.62,-0.19,0.00
593.62,-0.19,0.00
594.62,-0.12,0.00
595.62,-0.19,0.00
596.62,-0.25,0.00
597.62,-0.06,0.00
598.63,-0.19,0.00
599.63,-0.19,0.00
600.64,-0.19,0.00
601.64,-0.25,0.00
602.65,-0.12,0.00
603.65,-0.25,0.00
604.65,-0.19,0.00
605.65,-0.19,0.00
606.65,-0.06,0.00
607.65,-0.19,0.00
608.65,-0.12,0.00
609.68,-0.06,0.00
610.68,-0.19,0.00
611.68,-0.12,0.00
612.68,-0.06,0.00
613.68,-0.12,0.00
614.68,-0.19,0.00
615.68,-0.25,0.00
617.68,-0.00,0.00
618.68,-0.19,0.00
619.69,-0.12,0.00
620.69,-0.12,0.00
621.69,-0.25,0.00
623.89,-0.12,0.00
625.90,242.69,0.00
626.90,360.06,0.00
627.90,483.65,0.00
628.90,599.82,0.00
629.90,600.07,0.00
630.90,600.13,0.00
631.90,597.31,0.00
632.90,479.18,0.00
634.91,234.54,0.00
635.91,113.15,0.00
636.91,308.84,0.00
637.91,478.76,0.00
638.91,357.67,0.00
639.91,236.93,0.00
640.91,116.83,0.00
641.92,2.94,0.00
642.92,-0.25,0.00
643.92,-0.12,0.00
644.92,-0.12,0.00
645.92,-0.19,0.00
646.92,-0.12,0.00
647.92,79.62,0.00
648.92,160.50,0.00
649.93,239.56,0.00
